window_end,active_games,bucket0_ratio
100,149.68,0.99
200,225.31,1.00
300,273.46,1.00
400,302.06,1.00
500,274.80,0.99
600,231.69,0.99
700,298.91,0.99
800,334.46,0.99
900,318.67,0.99
1000,415.84,0.98
1100,502.47,0.98
1200,470.44,0.98
1300,437.40,0.97
1400,513.41,0.96
1500,560.93,0.96
1600,605.38,0.96
1700,607.48,0.97
1800,585.36,0.96
1900,587.72,0.96
2000,618.67,0.95
2100,601.17,0.94
2200,576.51,0.94
2300,542.99,0.94
2400,446.47,0.93
2500,406.41,0.94
2600,479.06,0.94
2700,711.87,0.95
2800,681.85,0.94
2900,622.95,0.94
3000,539.03,0.95
3100,521.68,0.94
3200,395.39,0.94
3300,794.06,0.92
3400,825.04,0.92
3500,781.30,0.92
3600,724.77,0.92
3700,672.39,0.92
3800,644.87,0.92
3900,484.87,0.91
4000,555.27,0.90
4100,904.07,0.89
4200,945.49,0.89
4300,944.74,0.89
4400,889.78,0.89
4500,828.40,0.89
4600,762.12,0.89
4700,726.81,0.89
4800,692.00,0.89
4900,692.00,0.89
5000,685.36,0.89
5100,582.27,0.89
5200,279.77,0.87
5300,1045.84,0.88
5400,966.76,0.88
5500,910.49,0.88
5600,880.62,0.88
5700,866.64,0.88
5800,848.87,0.88
5900,799.39,0.88
6000,701.45,0.87
6100,594.54,0.88
6200,636.08,0.86
6300,1163.99,0.86
6400,1139.93,0.87
6500,1105.72,0.86
6600,1093.76,0.87
6700,1074.86,0.87
6800,1033.30,0.87
6900,926.42,0.87
7000,815.35,0.86
7100,729.27,0.86
7200,718.28,0.86
7300,677.40,0.85
7400,1250.29,0.83
7500,1271.05,0.83
7600,1235.10,0.83
7700,1162.11,0.83
7800,1112.30,0.83
7900,1067.77,0.83
8000,1022.89,0.83
8100,1018.90,0.84
8200,975.41,0.84
8300,997.07,0.84
8400,975.62,0.83
8500,923.34,0.83
8600,874.22,0.83
8700,938.17,0.83
8800,1362.45,0.83
8900,1308.25,0.83
9000,1234.69,0.83
9100,1193.25,0.83
9200,1093.03,0.82
9300,1064.55,0.83
9400,925.20,0.83
9500,896.60,0.83
9600,853.63,0.82
9700,853.02,0.83
9800,852.00,0.82
9900,732.59,0.82
10000,701.38,0.82
10100,1491.06,0.84
10200,1452.53,0.85
10300,1403.52,0.85
10400,1340.66,0.85
10500,1304.56,0.85
10600,1268.29,0.84
10700,1248.25,0.85
10800,1176.67,0.84
10900,1102.23,0.85
11000,1072.19,0.85
11100,963.95,0.84
11200,1019.28,0.85
11300,862.40,0.84
11400,756.11,0.84
11500,1145.69,0.83
11600,1575.85,0.85
11700,1545.72,0.85
11800,1520.80,0.85
11900,1509.96,0.84
12000,1474.23,0.84
12100,1493.64,0.84
12200,1503.51,0.84
12300,1528.38,0.84
12400,1512.60,0.84
12500,1513.74,0.84
12600,1531.46,0.84
12700,1509.63,0.85
12800,1477.95,0.84
12900,1478.33,0.85
13000,1350.25,0.84
13100,1408.23,0.85
13200,1701.29,0.86
13300,1668.53,0.86
13400,1636.64,0.85
13500,1599.20,0.85
13600,1507.58,0.85
13700,1474.46,0.85
13800,1454.00,0.85
13900,1467.83,0.85
14000,1485.91,0.85
14100,1457.15,0.85
14200,1453.64,0.85
14300,1454.00,0.85
14400,1230.01,0.85
14500,921.30,0.85
14600,936.99,0.85
14700,728.59,0.84
14800,1193.40,0.82
14900,1802.07,0.83
15000,1743.13,0.84
15100,1678.99,0.83
15200,1618.55,0.83
15300,1574.61,0.83
15400,1529.92,0.83
15500,1486.97,0.83
15600,1449.28,0.83
15700,1394.38,0.83
15800,1386.18,0.83
15900,1329.03,0.83
16000,1283.84,0.83
16100,1268.14,0.83
16200,918.97,0.82
16300,879.25,0.83
16400,624.64,0.83
16500,504.78,0.82
16600,1372.96,0.81
16700,1910.49,0.84
16800,1847.52,0.85
16900,1795.08,0.84
17000,1772.35,0.84
17100,1753.89,0.84
17200,1684.67,0.84
17300,1644.26,0.84
17400,1617.60,0.83
17500,1610.81,0.84
17600,1618.10,0.84
17700,1562.68,0.84
17800,1581.10,0.84
17900,1598.44,0.84
18000,1557.00,0.84
18100,1589.76,0.84
18200,1581.57,0.85
18300,1578.88,0.84
18400,1405.92,0.84
18500,1518.29,0.83
18600,2000.40,0.85
18700,1974.91,0.85
18800,1949.00,0.85
18900,1899.43,0.85
19000,1867.38,0.85
19100,1842.79,0.85
19200,1835.61,0.85
19300,1761.37,0.85
19400,1678.85,0.84
19500,1551.08,0.84
19600,1512.75,0.84
19700,1448.19,0.84
19800,1390.63,0.84
19900,1290.69,0.84
20000,1341.80,0.84
20100,1212.51,0.84
20200,1035.41,0.84
20300,796.82,0.83
20400,560.21,0.83
20500,1225.96,0.80
20600,2029.09,0.84
20700,1983.01,0.84
20800,1925.88,0.84
20900,1915.13,0.84
21000,1828.52,0.84
21100,1743.08,0.84
21200,1671.61,0.84
21300,1630.64,0.84
21400,1607.84,0.84
21500,1516.09,0.84
21600,1433.37,0.84
21700,1406.73,0.83
21800,1253.11,0.84
21900,1210.11,0.83
22000,1059.85,0.84
22100,954.42,0.84
22200,873.90,0.83
22300,764.48,0.83
22400,629.84,0.83
22500,1157.68,0.82
22600,2015.03,0.84
22700,1931.51,0.84
22800,1844.12,0.84
22900,1755.17,0.84
23000,1728.89,0.84
23100,1743.15,0.84
23200,1691.12,0.84
23300,1670.88,0.84
23400,1638.83,0.84
23500,1684.02,0.83
23600,1692.43,0.84
23700,1654.21,0.84
23800,1576.04,0.84
23900,1577.53,0.84
24000,1598.28,0.84
24100,1516.59,0.84
24200,1588.19,0.84
24300,1618.50,0.84
24400,1523.76,0.84
24500,1433.44,0.84
24600,2017.91,0.84
24700,2013.74,0.84
24800,1993.32,0.84
24900,1946.13,0.84
25000,1890.66,0.83
25100,1830.31,0.83
25200,1713.38,0.83
25300,1661.61,0.83
25400,1572.91,0.84
25500,1454.94,0.84
25600,1374.70,0.83
25700,1298.80,0.83
25800,1228.98,0.83
25900,1401.01,0.83
26000,1218.84,0.84
26100,1199.81,0.83
26200,1077.50,0.83
26300,730.90,0.83
26400,557.46,0.83
26500,448.68,0.81
26600,2096.11,0.82
26700,2100.05,0.84
26800,2042.49,0.85
26900,1989.85,0.85
27000,1946.38,0.84
27100,1903.79,0.85
27200,1850.74,0.84
27300,1797.17,0.84
