Type,Value
CPU,2.79
MEM,19.57 MB
CPU,7.80
MEM,26.13 MB
CPU,12.18
MEM,32.22 MB
CPU,14.00
MEM,38.10 MB
CPU,14.20
MEM,47.74 MB
CPU,17.37
MEM,53.66 MB
CPU,19.56
MEM,62.39 MB
CPU,21.40
MEM,68.39 MB
CPU,29.74
MEM,78.69 MB
CPU,32.20
MEM,84.93 MB
CPU,33.33
MEM,92.99 MB
CPU,37.60
MEM,101.45 MB
CPU,35.73
MEM,111.92 MB
CPU,39.40
MEM,114.02 MB
CPU,32.47
MEM,124.45 MB
CPU,34.71
MEM,134.68 MB
CPU,36.60
MEM,136.41 MB
CPU,47.40
MEM,147.26 MB
CPU,46.20
MEM,153.51 MB
CPU,52.89
MEM,117.89 MB
CPU,56.30
MEM,167.80 MB
CPU,50.60
MEM,177.64 MB
CPU,49.10
MEM,185.98 MB
CPU,50.40
MEM,187.75 MB
CPU,52.60
MEM,181.60 MB
CPU,54.60
MEM,175.45 MB
CPU,52.60
MEM,182.29 MB
CPU,52.39
MEM,184.97 MB
CPU,50.98
MEM,192.57 MB
CPU,54.60
MEM,183.91 MB
CPU,52.20
MEM,191.57 MB
CPU,54.20
MEM,194.89 MB
CPU,55.80
MEM,190.65 MB
CPU,50.40
MEM,202.28 MB
CPU,57.40
MEM,189.50 MB
CPU,53.00
MEM,189.07 MB
CPU,52.99
MEM,196.10 MB
CPU,54.60
MEM,196.10 MB
CPU,54.20
MEM,195.27 MB
CPU,50.40
MEM,190.72 MB
CPU,52.40
MEM,191.92 MB
CPU,53.40
MEM,202.46 MB
CPU,51.70
MEM,204.80 MB
CPU,55.40
MEM,197.25 MB
CPU,51.60
MEM,202.72 MB
CPU,55.09
MEM,180.61 MB
CPU,52.40
MEM,188.43 MB
CPU,53.60
MEM,206.41 MB
CPU,55.49
MEM,210.56 MB
CPU,51.60
MEM,212.01 MB
CPU,54.29
MEM,201.96 MB
CPU,51.20
MEM,188.34 MB
CPU,48.70
MEM,183.94 MB
CPU,50.30
MEM,194.56 MB
CPU,45.11
MEM,179.78 MB
CPU,45.83
MEM,164.98 MB
CPU,46.41
MEM,161.48 MB
CPU,41.32
MEM,155.85 MB
CPU,41.00
MEM,147.35 MB
CPU,33.93
MEM,142.79 MB
CPU,26.40
MEM,138.22 MB
CPU,24.40
MEM,130.36 MB
CPU,21.80
MEM,124.72 MB
CPU,19.16
MEM,123.84 MB
CPU,17.37
MEM,129.78 MB
CPU,15.00
MEM,133.21 MB
CPU,13.40
MEM,140.04 MB
CPU,11.38
MEM,151.82 MB
CPU,5.29
MEM,155.84 MB
CPU,4.51
MEM,170.02 MB
