window_end,active_games,bucket0_ratio
100,147.61,0.98
200,232.98,0.97
300,271.49,0.96
400,323.57,0.95
500,350.27,0.94
600,380.76,0.94
700,416.21,0.93
800,439.84,0.92
900,459.11,0.92
1000,478.76,0.91
1100,508.99,0.91
1200,542.68,0.91
1300,558.30,0.90
1400,567.33,0.89
1500,583.70,0.90
1600,604.65,0.90
1700,634.09,0.89
1800,649.28,0.89
1900,661.30,0.90
2000,670.57,0.89
2100,686.98,0.88
2200,703.93,0.88
2300,726.60,0.88
2400,742.02,0.88
2500,753.49,0.87
2600,763.39,0.85
2700,773.80,0.85
2800,786.61,0.84
2900,796.95,0.82
3000,813.68,0.81
3100,831.80,0.82
3200,858.11,0.84
3300,868.22,0.84
3400,877.30,0.84
3500,885.08,0.84
3600,890.69,0.84
3700,897.94,0.83
3800,911.66,0.82
3900,925.39,0.80
4000,947.57,0.78
4100,958.75,0.77
4200,969.26,0.76
4300,977.87,0.75
4400,985.32,0.75
4500,956.68,0.75
4600,988.17,0.74
4700,1010.14,0.74
4800,1023.24,0.73
4900,1039.30,0.73
5000,1058.61,0.73
5100,1066.68,0.73
5200,1075.70,0.72
5300,1083.76,0.72
5400,1091.13,0.72
5500,1072.43,0.72
5600,1022.31,0.71
5700,1108.72,0.70
5800,1115.82,0.68
5900,1125.00,0.68
6000,1145.41,0.66
6100,1174.21,0.71
6200,1183.42,0.71
6300,1191.57,0.71
6400,1200.81,0.71
6500,1190.76,0.71
6600,1123.58,0.71
6700,1039.78,0.71
6800,960.10,0.70
6900,887.41,0.71
7000,772.72,0.71
7100,1201.24,0.68
7200,1260.78,0.68
7300,1287.79,0.68
7400,1299.66,0.67
7500,1308.68,0.67
7600,1315.27,0.67
7700,1304.03,0.69
7800,1216.83,0.69
7900,1161.33,0.69
8000,1123.21,0.69
8100,1039.67,0.68
8200,933.15,0.69
8300,776.57,0.67
8400,1144.26,0.64
8500,1380.58,0.65
8600,1403.89,0.66
8700,1412.18,0.66
8800,1422.08,0.65
8900,1425.36,0.65
9000,1382.97,0.67
9100,1309.92,0.68
9200,1219.16,0.68
9300,1172.15,0.68
9400,1056.08,0.68
9500,967.61,0.68
9600,889.50,0.67
9700,863.14,0.67
9800,805.80,0.65
9900,1502.50,0.65
10000,1529.79,0.66
10100,1529.65,0.66
10200,1507.48,0.66
10300,1511.54,0.67
10400,1431.54,0.67
10500,1354.99,0.69
10600,1213.34,0.68
10700,1191.00,0.68
10800,1100.18,0.68
10900,954.58,0.68
11000,885.18,0.67
11100,808.09,0.67
11200,764.80,0.67
11300,574.52,0.66
11400,1505.08,0.63
11500,1655.18,0.63
11600,1656.10,0.63
11700,1610.80,0.65
11800,1516.30,0.66
11900,1470.84,0.68
12000,1413.02,0.68
12100,1343.29,0.67
12200,1288.30,0.67
12300,1232.65,0.69
12400,1167.15,0.68
12500,1093.20,0.67
12600,1054.69,0.67
12700,930.20,0.68
12800,855.61,0.67
12900,595.44,0.66
13000,1259.01,0.63
13100,1771.98,0.63
13200,1774.59,0.65
13300,1671.39,0.66
13400,1653.83,0.65
13500,1572.43,0.66
13600,1512.68,0.67
13700,1460.98,0.66
13800,1304.97,0.66
13900,1230.75,0.66
14000,1514.84,0.67
14100,1467.39,0.66
14200,1332.05,0.66
14300,1192.09,0.65
14400,758.58,0.65
14500,606.56,0.64
14600,804.64,0.65
14700,886.29,0.63
14800,1892.51,0.61
14900,1900.38,0.62
15000,1846.53,0.62
15100,1747.28,0.62
15200,1637.87,0.63
15300,1717.68,0.61
15400,1638.20,0.62
15500,1544.04,0.62
15600,1474.76,0.61
15700,1465.82,0.61
15800,1406.98,0.62
15900,1349.63,0.61
16000,1285.37,0.61
16100,1250.92,0.62
16200,1207.40,0.62
16300,1157.99,0.61
16400,1101.50,0.61
16500,993.44,0.61
16600,1401.98,0.55
16700,2024.09,0.51
16800,2004.10,0.51
16900,1855.19,0.51
17000,1797.34,0.51
17100,1862.81,0.50
17200,1733.60,0.51
17300,1590.62,0.50
17400,1468.70,0.51
17500,1331.48,0.50
17600,1238.01,0.50
17700,1252.47,0.50
17800,1558.64,0.51
17900,1441.69,0.50
18000,1156.11,0.50
18100,1096.83,0.49
18200,806.51,0.50
18300,953.77,0.50
18400,505.73,0.50
18500,307.69,0.49
18600,1337.65,0.51
18700,2163.61,0.47
18800,2124.36,0.45
18900,2010.61,0.43
19000,1996.00,0.44
19100,1898.92,0.43
19200,1826.02,0.45
19300,1647.51,0.43
19400,1573.25,0.42
19500,1497.45,0.42
19600,1418.27,0.44
19700,1337.02,0.42
19800,1278.29,0.44
19900,1214.05,0.43
20000,1149.56,0.42
20100,970.32,0.42
20200,948.64,0.42
20300,687.88,0.42
20400,517.61,0.42
20500,510.33,0.41
20600,455.74,0.41
20700,373.12,0.41
20800,2181.11,0.40
20900,2230.26,0.37
21000,2180.95,0.36
21100,2089.64,0.34
21200,2095.94,0.34
21300,1954.78,0.34
21400,1888.09,0.33
21500,1779.33,0.35
21600,1606.44,0.34
21700,1453.95,0.33
21800,1818.45,0.33
21900,1837.52,0.34
22000,1409.82,0.34
22100,1514.92,0.37
22200,1320.62,0.36
22300,1336.78,0.32
22400,1167.04,0.34
22500,1239.01,0.34
22600,1071.07,0.33
22700,895.32,0.34
22800,444.04,0.33
22900,263.34,0.32
23000,1614.86,0.33
23100,2309.72,0.27
23200,2243.91,0.26
23300,2184.78,0.26
23400,2140.26,0.24
23500,2033.79,0.25
23600,1964.34,0.23
23700,1833.33,0.24
23800,1862.49,0.24
23900,1705.00,0.25
24000,1473.47,0.25
24100,1589.36,0.24
24200,1380.49,0.24
24300,1124.01,0.24
24400,1099.74,0.22
24500,1210.00,0.24
24600,1201.80,0.24
24700,1076.00,0.25
24800,721.95,0.23
24900,675.66,0.23
25000,638.02,0.23
25100,607.68,0.23
25200,513.42,0.24
25300,1450.32,0.25
25400,2354.56,0.23
25500,2300.59,0.23
25600,2279.66,0.23
25700,2195.18,0.22
25800,2107.58,0.23
25900,2007.89,0.22
26000,1899.19,0.22
26100,1798.93,0.21
26200,1742.27,0.23
26300,1584.66,0.22
26400,1577.14,0.22
26500,1430.68,0.21
26600,1260.84,0.22
26700,1229.00,0.22
26800,1098.55,0.22
26900,942.81,0.22
27000,906.60,0.21
27100,876.55,0.21
27200,683.51,0.21
27300,942.69,0.22
27400,644.83,0.22
27500,516.62,0.22
27600,480.03,0.24
27700,2367.47,0.26
27800,2421.14,0.21
27900,2323.23,0.20
28000,2251.30,0.21
28100,2172.07,0.21
28200,2043.74,0.20
28300,2030.78,0.21
28400,1959.63,0.20
28500,1796.47,0.21
28600,1662.64,0.20
28700,1684.71,0.20
28800,1566.32,0.19
28900,1666.33,0.19
29000,1558.50,0.21
29100,1445.86,0.20
29200,1376.04,0.19
29300,1265.05,0.18
29400,1146.94,0.19
29500,916.64,0.19
29600,555.06,0.19
29700,1351.05,0.20
29800,1241.13,0.19
29900,856.72,0.19
30000,388.17,0.19
30100,2318.85,0.26
30200,2457.48,0.22
30300,2392.43,0.21
30400,2313.66,0.20
30500,2249.78,0.20
30600,2146.07,0.19
30700,2044.64,0.19
