Type,Value
CPU,2.79
MEM,254.52 MB
CPU,12.20
MEM,254.52 MB
CPU,22.75
MEM,254.64 MB
CPU,25.75
MEM,258.70 MB
CPU,29.40
MEM,264.74 MB
CPU,33.40
MEM,276.80 MB
CPU,37.33
MEM,290.87 MB
CPU,45.80
MEM,303.30 MB
CPU,46.20
MEM,321.18 MB
CPU,48.40
MEM,343.39 MB
CPU,51.10
MEM,362.65 MB
CPU,52.60
MEM,387.43 MB
CPU,58.00
MEM,417.18 MB
CPU,59.20
MEM,437.88 MB
CPU,61.40
MEM,459.40 MB
CPU,57.14
MEM,488.20 MB
CPU,51.98
MEM,522.92 MB
CPU,53.60
MEM,562.12 MB
CPU,68.24
MEM,596.57 MB
CPU,69.60
MEM,611.07 MB
CPU,53.40
MEM,655.68 MB
CPU,53.00
MEM,703.18 MB
CPU,69.40
MEM,721.82 MB
CPU,58.89
MEM,759.65 MB
CPU,59.80
MEM,806.03 MB
CPU,69.26
MEM,822.59 MB
CPU,45.80
MEM,870.59 MB
CPU,67.60
MEM,881.20 MB
CPU,54.89
MEM,935.04 MB
CPU,67.47
MEM,951.41 MB
CPU,52.19
MEM,997.34 MB
CPU,66.20
MEM,1012.58 MB
CPU,47.40
MEM,1064.35 MB
CPU,66.27
MEM,1072.62 MB
CPU,56.16
MEM,1124.02 MB
CPU,61.20
MEM,1144.16 MB
CPU,62.67
MEM,1154.70 MB
CPU,46.40
MEM,1209.68 MB
CPU,62.40
MEM,1222.48 MB
CPU,57.60
MEM,1237.16 MB
CPU,47.01
MEM,1305.48 MB
CPU,59.88
MEM,1320.17 MB
CPU,48.60
MEM,1380.02 MB
CPU,56.80
MEM,1408.15 MB
CPU,54.60
MEM,1435.45 MB
CPU,55.60
MEM,1497.07 MB
CPU,50.80
MEM,1515.13 MB
CPU,46.91
MEM,1565.96 MB
CPU,49.70
MEM,1608.69 MB
CPU,54.49
MEM,1626.57 MB
CPU,45.00
MEM,1687.56 MB
CPU,51.89
MEM,1711.27 MB
CPU,51.40
MEM,1744.03 MB
CPU,50.60
MEM,1802.38 MB
CPU,55.98
MEM,1819.13 MB
CPU,46.51
MEM,1889.15 MB
CPU,59.24
MEM,1903.09 MB
CPU,45.60
MEM,1971.98 MB
CPU,57.80
MEM,1981.57 MB
CPU,46.20
MEM,2042.94 MB
CPU,59.60
MEM,2058.56 MB
CPU,54.20
MEM,2085.48 MB
CPU,54.80
MEM,2109.77 MB
CPU,55.80
MEM,2161.75 MB
CPU,59.44
MEM,2542.06 MB
CPU,66.73
MEM,2884.39 MB
CPU,65.30
MEM,2884.39 MB
CPU,44.40
MEM,2936.39 MB
CPU,67.86
MEM,2936.39 MB
CPU,62.00
MEM,2942.39 MB
CPU,43.20
MEM,2942.39 MB
CPU,69.11
MEM,2942.39 MB
CPU,58.48
MEM,2942.39 MB
CPU,68.92
MEM,2942.39 MB
CPU,46.40
MEM,2942.45 MB
CPU,72.26
MEM,2942.45 MB
CPU,58.81
MEM,2942.45 MB
CPU,53.20
MEM,2942.45 MB
CPU,75.25
MEM,2942.45 MB
CPU,72.46
MEM,2942.45 MB
CPU,57.60
MEM,2942.45 MB
CPU,52.08
MEM,2942.45 MB
CPU,48.30
MEM,2942.45 MB
CPU,46.80
MEM,2942.45 MB
CPU,37.80
MEM,2942.45 MB
CPU,27.02
MEM,2942.45 MB
CPU,16.77
MEM,2942.45 MB
CPU,7.50
MEM,2942.45 MB
CPU,2.79
MEM,2942.45 MB
CPU,1.20
MEM,2942.45 MB
