Type,Value
CPU,4.60
MEM,259.31 MB
CPU,14.00
MEM,262.20 MB
CPU,21.60
MEM,262.65 MB
CPU,27.40
MEM,128.84 MB
CPU,39.00
MEM,169.70 MB
CPU,43.71
MEM,174.60 MB
CPU,49.80
MEM,225.83 MB
CPU,52.60
MEM,232.82 MB
CPU,57.60
MEM,245.71 MB
CPU,63.07
MEM,248.80 MB
CPU,68.06
MEM,267.18 MB
CPU,68.86
MEM,268.16 MB
CPU,69.20
MEM,277.01 MB
CPU,70.40
MEM,277.36 MB
CPU,69.60
MEM,279.65 MB
CPU,71.00
MEM,279.65 MB
CPU,71.20
MEM,281.46 MB
CPU,70.80
MEM,281.46 MB
CPU,70.80
MEM,283.78 MB
CPU,70.52
MEM,285.72 MB
CPU,71.80
MEM,288.55 MB
CPU,71.00
MEM,290.34 MB
CPU,71.60
MEM,289.81 MB
CPU,71.00
MEM,290.30 MB
CPU,69.20
MEM,292.19 MB
CPU,70.40
MEM,292.70 MB
CPU,70.40
MEM,293.14 MB
CPU,69.40
MEM,301.45 MB
CPU,71.06
MEM,301.45 MB
CPU,70.60
MEM,301.44 MB
CPU,70.20
MEM,304.22 MB
CPU,71.20
MEM,304.22 MB
CPU,69.00
MEM,303.84 MB
CPU,69.63
MEM,303.84 MB
CPU,71.06
MEM,303.84 MB
CPU,70.60
MEM,303.84 MB
CPU,69.20
MEM,303.84 MB
CPU,70.55
MEM,303.66 MB
CPU,70.60
MEM,303.92 MB
CPU,69.80
MEM,303.92 MB
CPU,69.90
MEM,303.92 MB
CPU,69.66
MEM,303.92 MB
CPU,69.80
MEM,303.92 MB
CPU,70.20
MEM,303.92 MB
CPU,69.00
MEM,303.92 MB
CPU,69.40
MEM,303.92 MB
CPU,69.46
MEM,303.92 MB
CPU,69.18
MEM,303.92 MB
CPU,69.46
MEM,303.84 MB
CPU,69.26
MEM,304.10 MB
CPU,70.40
MEM,304.10 MB
CPU,69.46
MEM,304.10 MB
CPU,69.66
MEM,304.10 MB
CPU,69.20
MEM,304.10 MB
CPU,70.20
MEM,304.10 MB
CPU,69.47
MEM,304.10 MB
CPU,69.80
MEM,304.10 MB
CPU,69.40
MEM,304.10 MB
CPU,70.80
MEM,304.10 MB
CPU,69.80
MEM,304.10 MB
CPU,69.60
MEM,304.10 MB
CPU,70.20
MEM,304.10 MB
CPU,70.40
MEM,304.10 MB
CPU,69.66
MEM,304.10 MB
CPU,69.20
MEM,304.10 MB
CPU,69.86
MEM,305.90 MB
CPU,70.60
MEM,305.90 MB
CPU,70.40
MEM,305.90 MB
CPU,70.20
MEM,306.16 MB
CPU,70.60
MEM,306.16 MB
CPU,70.60
MEM,306.16 MB
CPU,69.60
MEM,306.16 MB
CPU,69.40
MEM,306.16 MB
CPU,70.00
MEM,306.16 MB
CPU,70.26
MEM,306.16 MB
CPU,69.80
MEM,306.16 MB
CPU,71.20
MEM,306.16 MB
CPU,70.60
MEM,306.16 MB
CPU,70.80
MEM,306.42 MB
CPU,71.60
MEM,306.42 MB
CPU,69.66
MEM,306.40 MB
CPU,70.46
MEM,306.40 MB
CPU,71.06
MEM,306.40 MB
CPU,69.46
MEM,306.40 MB
CPU,69.60
MEM,306.40 MB
CPU,68.80
MEM,306.40 MB
CPU,70.00
MEM,306.40 MB
CPU,70.60
MEM,306.44 MB
CPU,71.00
MEM,306.44 MB
CPU,70.80
MEM,310.02 MB
CPU,71.20
MEM,310.05 MB
CPU,70.40
MEM,315.74 MB
CPU,68.00
MEM,319.46 MB
CPU,71.00
MEM,319.46 MB
CPU,71.00
MEM,319.72 MB
CPU,69.00
MEM,331.58 MB
CPU,71.01
MEM,335.12 MB
CPU,70.40
MEM,335.38 MB
CPU,70.00
MEM,334.48 MB
CPU,71.40
MEM,334.48 MB
CPU,71.20
MEM,334.19 MB
CPU,71.80
MEM,337.15 MB
CPU,72.60
MEM,337.15 MB
CPU,70.80
MEM,337.16 MB
CPU,70.38
MEM,337.16 MB
CPU,66.33
MEM,336.95 MB
CPU,62.20
MEM,336.95 MB
CPU,52.60
MEM,336.95 MB
CPU,45.00
MEM,336.95 MB
CPU,35.80
MEM,336.95 MB
CPU,28.40
MEM,336.95 MB
CPU,22.95
MEM,336.95 MB
CPU,17.20
MEM,336.95 MB
CPU,13.00
MEM,336.95 MB
CPU,9.18
MEM,336.29 MB
CPU,7.40
MEM,336.29 MB
CPU,4.80
MEM,336.29 MB
CPU,3.18
MEM,336.29 MB
CPU,2.59
MEM,336.29 MB
CPU,1.60
MEM,336.29 MB
CPU,1.39
MEM,336.29 MB
CPU,1.79
MEM,136.35 MB
CPU,0.40
MEM,136.35 MB
