window_end,active_games,bucket0_ratio
100,150.02,1.00
200,224.77,0.99
300,273.70,0.98
400,315.28,0.97
500,348.34,0.97
600,380.51,0.96
700,410.16,0.95
800,435.08,0.94
900,460.64,0.94
1000,483.94,0.93
1100,504.58,0.93
1200,525.73,0.92
1300,545.39,0.91
1400,566.07,0.91
1500,585.69,0.90
1600,605.21,0.89
1700,621.40,0.89
1800,636.88,0.88
1900,655.08,0.88
2000,665.19,0.87
2100,684.28,0.87
2200,698.24,0.86
2300,709.78,0.85
2400,729.85,0.85
2500,745.25,0.84
2600,761.31,0.83
2700,770.51,0.82
2800,787.43,0.81
2900,799.09,0.81
3000,800.63,0.80
3100,823.33,0.80
3200,836.01,0.79
3300,850.44,0.78
3400,865.49,0.78
3500,875.69,0.77
3600,890.99,0.77
3700,874.14,0.76
3800,907.59,0.74
3900,915.11,0.73
4000,925.32,0.73
4100,936.14,0.72
4200,959.63,0.72
4300,962.17,0.72
4400,975.07,0.71
4500,962.96,0.70
4600,978.60,0.70
4700,961.13,0.69
4800,968.21,0.68
4900,990.84,0.66
5000,1020.93,0.65
5100,1032.98,0.63
5200,1057.34,0.60
5300,1046.34,0.58
5400,1056.12,0.56
5500,1054.15,0.55
5600,1068.79,0.53
5700,1034.47,0.51
5800,1018.39,0.51
5900,988.66,0.50
6000,1000.08,0.48
6100,1006.34,0.48
6200,998.19,0.47
6300,1010.89,0.48
6400,1036.12,0.49
6500,1030.91,0.49
6600,996.93,0.49
6700,998.35,0.49
6800,1020.94,0.50
6900,1038.56,0.52
7000,1053.21,0.52
7100,1031.47,0.51
7200,1021.62,0.51
7300,1000.49,0.49
7400,975.45,0.48
7500,958.49,0.47
7600,969.98,0.48
7700,998.39,0.49
7800,1011.04,0.49
7900,989.56,0.48
8000,979.74,0.48
8100,989.81,0.48
8200,980.45,0.48
8300,998.30,0.49
8400,1028.20,0.51
8500,1031.86,0.51
8600,1019.02,0.51
8700,1015.48,0.50
8800,1011.97,0.50
8900,1011.38,0.50
9000,1047.98,0.51
9100,1042.83,0.52
9200,1037.76,0.52
9300,1026.39,0.51
9400,1015.47,0.51
9500,1003.69,0.49
9600,1030.59,0.50
9700,1023.87,0.50
9800,1019.53,0.49
9900,1013.14,0.49
10000,998.87,0.47
10100,962.48,0.46
10200,947.57,0.46
10300,955.42,0.46
10400,971.15,0.47
10500,975.43,0.48
10600,975.24,0.48
10700,987.01,0.49
10800,999.23,0.50
10900,1007.20,0.51
11000,1016.79,0.51
11100,1042.61,0.52
11200,1032.38,0.52
11300,1035.62,0.51
11400,1021.42,0.51
11500,1009.20,0.50
11600,985.42,0.49
11700,964.86,0.48
11800,954.58,0.48
11900,960.42,0.47
12000,957.35,0.47
12100,966.51,0.48
12200,978.79,0.49
12300,982.13,0.49
12400,994.82,0.49
12500,1004.36,0.49
12600,1026.63,0.50
12700,1029.82,0.50
12800,1042.35,0.49
12900,1033.47,0.50
13000,1028.03,0.49
13100,1013.48,0.49
13200,1015.43,0.48
13300,1035.45,0.49
13400,1014.28,0.48
13500,973.06,0.47
13600,881.69,0.46
13700,929.54,0.50
13800,927.38,0.50
13900,924.49,0.50
14000,954.50,0.50
14100,1001.85,0.51
14200,991.61,0.50
14300,974.03,0.49
14400,988.36,0.50
14500,988.60,0.52
14600,958.38,0.49
14700,958.06,0.49
14800,979.58,0.50
14900,997.70,0.50
15000,984.84,0.48
15100,996.68,0.48
15200,999.93,0.48
15300,1001.55,0.48
15400,981.63,0.47
15500,984.89,0.48
15600,997.87,0.48
15700,979.67,0.47
15800,941.54,0.45
15900,931.47,0.45
16000,963.37,0.46
16100,964.24,0.46
16200,955.64,0.46
16300,956.96,0.46
16400,968.87,0.47
16500,948.94,0.46
16600,948.67,0.46
16700,969.98,0.48
16800,989.38,0.49
16900,990.43,0.48
17000,969.02,0.47
17100,955.80,0.47
17200,958.14,0.47
17300,941.76,0.46
17400,933.52,0.47
17500,952.58,0.48
17600,961.40,0.48
17700,939.48,0.47
17800,937.47,0.46
17900,948.67,0.47
18000,961.95,0.47
18100,956.07,0.47
18200,966.62,0.47
18300,976.64,0.47
18400,949.09,0.46
18500,949.95,0.45
18600,952.92,0.46
18700,957.78,0.48
18800,978.00,0.49
18900,1026.81,0.50
19000,1026.10,0.49
19100,1049.49,0.50
19200,1041.74,0.50
19300,1022.50,0.50
19400,980.42,0.50
19500,967.73,0.49
19600,941.65,0.48
19700,895.44,0.46
19800,893.36,0.46
19900,907.18,0.46
20000,929.20,0.47
20100,937.90,0.48
20200,941.29,0.49
20300,954.52,0.51
20400,971.03,0.52
20500,965.45,0.53
20600,994.49,0.53
20700,999.84,0.53
20800,989.69,0.52
20900,969.85,0.50
21000,957.16,0.49
21100,983.56,0.49
21200,977.40,0.47
21300,971.96,0.45
21400,989.71,0.45
21500,950.15,0.44
21600,986.32,0.45
21700,1047.33,0.46
21800,1077.74,0.46
21900,1172.14,0.48
22000,1177.92,0.47
22100,1167.39,0.46
22200,1155.57,0.45
22300,1137.60,0.44
22400,1092.32,0.43
22500,1051.08,0.42
22600,1012.46,0.40
22700,975.28,0.37
22800,939.34,0.36
22900,876.56,0.34
23000,859.50,0.34
23100,847.63,0.34
23200,843.59,0.35
23300,830.05,0.37
23400,900.20,0.41
23500,982.65,0.46
23600,1013.70,0.49
23700,1044.43,0.52
23800,1034.82,0.53
23900,1007.51,0.51
24000,975.88,0.50
24100,969.97,0.50
24200,950.72,0.48
24300,908.66,0.47
24400,898.57,0.45
24500,901.20,0.44
24600,905.51,0.43
24700,914.74,0.43
24800,965.25,0.44
24900,1013.10,0.47
25000,1018.00,0.48
25100,1013.67,0.47
25200,993.56,0.47
25300,971.54,0.46
25400,962.70,0.45
25500,964.32,0.46
25600,953.06,0.46
25700,941.57,0.46
25800,934.09,0.45
25900,909.32,0.44
26000,908.86,0.44
26100,936.45,0.47
26200,1002.14,0.50
26300,1027.18,0.52
26400,1094.89,0.54
26500,1079.65,0.53
26600,1058.15,0.53
26700,1040.67,0.52
26800,1013.65,0.52
26900,972.71,0.50
27000,942.08,0.49
27100,907.93,0.45
27200,900.13,0.44
27300,895.31,0.44
27400,892.20,0.43
27500,896.61,0.43
27600,921.49,0.44
27700,945.17,0.45
27800,970.92,0.48
27900,996.35,0.49
28000,1015.14,0.51
28100,1006.24,0.51
28200,1003.33,0.49
28300,981.84,0.49
28400,971.01,0.48
28500,947.10,0.47
28600,936.22,0.45
28700,892.03,0.43
28800,892.12,0.44
28900,902.36,0.44
29000,935.09,0.45
29100,946.13,0.46
29200,1006.81,0.47
29300,1022.04,0.48
29400,1005.60,0.48
29500,1000.30,0.48
29600,981.69,0.48
29700,955.77,0.47
29800,950.90,0.46
29900,918.98,0.44
30000,919.01,0.45
30100,919.12,0.44
30200,935.79,0.44
30300,945.56,0.44
30400,960.07,0.45
30500,956.57,0.45
30600,953.21,0.46
30700,956.63,0.47
30800,968.82,0.48
30900,970.03,0.49
31000,974.56,0.49
31100,968.67,0.49
31200,944.96,0.48
31300,945.52,0.47
31400,959.68,0.47
31500,968.69,0.47
31600,977.21,0.47
31700,977.94,0.47
31800,962.10,0.47
31900,949.38,0.46
32000,951.78,0.46
32100,941.35,0.47
32200,966.66,0.48
32300,964.16,0.48
32400,954.21,0.48
32500,954.81,0.49
32600,959.18,0.49
32700,956.56,0.49
32800,956.66,0.50
32900,970.41,0.49
33000,980.43,0.48
33100,971.67,0.47
33200,978.29,0.47
33300,977.39,0.48
33400,964.39,0.47
33500,948.18,0.45
33600,945.48,0.46
33700,944.66,0.45
33800,947.08,0.45
33900,954.92,0.46
34000,952.05,0.46
34100,954.65,0.46
34200,949.42,0.46
34300,954.49,0.45
34400,958.00,0.46
34500,952.38,0.46
34600,963.84,0.46
34700,950.94,0.46
34800,927.01,0.44
34900,907.65,0.43
35000,923.82,0.44
35100,919.08,0.44
35200,913.24,0.44
35300,916.87,0.45
35400,943.58,0.46
35500,931.38,0.46
35600,981.13,0.47
35700,1097.76,0.51
35800,1098.52,0.52
35900,1073.20,0.50
36000,1048.64,0.49
36100,965.74,0.48
36200,919.26,0.47
36300,903.61,0.46
36400,892.86,0.46
36500,905.21,0.46
36600,892.64,0.44
36700,892.20,0.43
36800,884.56,0.42
36900,903.18,0.43
37000,953.18,0.47
37100,994.97,0.49
37200,1004.91,0.50
37300,991.21,0.49
37400,979.84,0.49
37500,973.49,0.49
37600,957.44,0.48
37700,944.64,0.48
37800,967.63,0.47
37900,946.14,0.45
38000,936.14,0.45
38100,925.98,0.44
38200,949.24,0.44
38300,935.01,0.45
38400,936.17,0.45
38500,927.51,0.45
38600,943.66,0.46
38700,937.93,0.46
38800,949.28,0.47
38900,973.39,0.48
39000,963.68,0.49
39100,966.05,0.49
39200,973.00,0.49
39300,979.70,0.48
39400,980.65,0.48
39500,987.45,0.47
39600,984.48,0.46
39700,970.63,0.45
39800,945.43,0.43
39900,942.54,0.42
40000,923.23,0.42
40100,921.69,0.41
40200,912.65,0.41
40300,921.15,0.42
40400,925.54,0.42
40500,943.00,0.44
40600,969.34,0.45
40700,984.91,0.46
40800,983.27,0.46
40900,974.18,0.45
41000,954.23,0.45
41100,938.11,0.45
41200,917.50,0.44
41300,934.05,0.45
41400,944.03,0.46
41500,948.35,0.46
41600,962.40,0.47
41700,960.90,0.47
41800,998.39,0.48
41900,992.39,0.49
42000,990.44,0.49
42100,987.13,0.47
42200,969.84,0.47
42300,931.54,0.45
42400,906.97,0.45
42500,914.35,0.45
42600,903.46,0.43
42700,893.35,0.43
42800,889.84,0.43
42900,939.17,0.46
43000,934.26,0.46
43100,943.39,0.47
43200,951.70,0.48
43300,965.68,0.48
43400,961.29,0.47
43500,980.60,0.49
43600,985.46,0.49
43700,978.04,0.47
43800,941.49,0.46
43900,937.19,0.44
44000,920.32,0.44
44100,920.62,0.43
44200,921.18,0.43
44300,916.00,0.43
44400,918.37,0.44
44500,912.00,0.43
44600,935.35,0.44
44700,938.47,0.45
44800,974.32,0.48
44900,993.34,0.49
45000,1002.08,0.48
45100,997.49,0.47
45200,1002.11,0.47
45300,983.72,0.46
45400,965.04,0.46
45500,936.65,0.45
45600,926.23,0.44
45700,891.42,0.42
45800,870.67,0.42
45900,848.51,0.40
46000,877.43,0.43
46100,909.57,0.46
46200,934.42,0.47
46300,980.37,0.48
46400,1011.84,0.49
46500,998.14,0.49
46600,1002.22,0.49
46700,993.49,0.49
46800,969.45,0.49
46900,1027.96,0.48
47000,1058.60,0.48
47100,1047.92,0.47
47200,1024.97,0.46
47300,1001.02,0.45
47400,936.92,0.44
47500,884.29,0.44
47600,893.71,0.45
47700,920.16,0.47
47800,938.88,0.47
47900,945.68,0.46
48000,951.31,0.47
48100,964.82,0.47
48200,979.07,0.48
48300,1003.08,0.49
48400,1015.33,0.50
48500,995.04,0.49
48600,958.96,0.47
48700,952.77,0.47
48800,951.62,0.47
48900,938.75,0.46
49000,913.38,0.45
49100,919.45,0.45
49200,937.28,0.45
49300,919.68,0.44
49400,929.47,0.45
49500,943.90,0.46
